unique_identifier,location_name,address_line1,address_line2,address_line3,address_city,address_county,address_post_code,country,ladnm,lsoa21,lsoa21nm,defibrillators_availability,defibrillators_access_type,lat,long,county
A0090503-DD9A-4344-B847-AE400115E7A5,Clifton Street Community Centre,Open Land West Of Bold Hotel 161,Poolstock Lane,,Wigan,Wigan,WN3 5HN,England,Wigan,E01006405,Wigan 015D,Varied Access,Public,53.52905726,-2.644912812,Greater Manchester
61C73693-71F9-4341-BC7B-AE40011487D5,,48a Carr Lane,,,Wigan,Wigan,WN3 5ND,England,Wigan,E01006407,Wigan 020B,24/7 Access,Public,53.52424,-2.64204,Greater Manchester
D18C72F8-6AC2-41D7-A2BB-B08D00905766,,Keepmoat Homes Site Office,Eliot Drive,,Wigan,Wigan,WN3 5TP,England,Wigan,E01006405,Wigan 015D,Varied Access,Public,53.5332756,-2.64389086,Greater Manchester
05F603D3-B6CD-4FBF-8CF6-B3DE00F0F0C4,Highfield St Matthew's Cofe Primary School,Highfield St Matthews Church Of England Primary School,Billinge Road,,Wigan,Wigan,WN3 6BL,England,Wigan,E01006401,Wigan 021E,Varied Access,Restricted,53.5295,-2.6742,Greater Manchester
C6AE412E-82D1-49B3-B01A-AFD3009DFDED,Highfield Cc,Highfield Cricket Club,Billinge Road,,Wigan,Wigan,WN3 6BL,England,Wigan,E01006401,Wigan 021E,Varied Access,Public,53.5287228,-2.6747488,Greater Manchester
B484093C-0717-474C-B05B-B46D00D0C45C,Office,Highfield St Matthews Church Of England Primary School,Billinge Road,,Wigan,Wigan,WN3 6BL,England,Wigan,E01006401,Wigan 021E,Varied Access,Restricted,53.5295,-2.6742,Greater Manchester
12594F6C-6249-41F7-B82C-AE7700DEAFE0,,Winstanley Medical Centre,Holmes House Avenue,,Wigan,Wigan,WN3 6JN,England,Wigan,E01006393,Wigan 021A,24/7 Access,Public,53.5213059,-2.6689586,Greater Manchester
AC0C23B8-4387-4FB9-8874-AF2600D98894,St Paul's Ce Primary School,St Pauls Church Of England Primary School,Warrington Road,Goose Green,Wigan,Wigan,WN3 6SB,England,Wigan,E01006403,Wigan 021G,24/7 Access,Public,53.52558311,-2.655695311,Greater Manchester
1B135D34-0EBF-4AE7-B33B-AD5F0078CE38,,Unit 15 Landgate Industrial Estate,Wigan Road,,Ashton-In-Makerfield,Wigan,WN4 0BW,England,Wigan,E01006262,Wigan 032A,Varied Access,Restricted,53.51076,-2.6481489,Greater Manchester
2CA1CA33-3206-4DF8-AA08-B3E500FB9F9E,Queens Road Methodist Church,Methodist Church,Queens Road,,Ashton-In-Makerfield,Wigan,WN4 8LB,England,Wigan,E01006223,Wigan 036A,24/7 Access,Public,53.4904,-2.63919,Greater Manchester
6F92E397-C02B-4282-8692-AEDC017519AE,Garswood Hall Bowling And Community Club,Bowling Greens Garswood Hall Bowling Club,Nicol Road,,Ashton-In-Makerfield,Wigan,WN4 8LU,England,Wigan,E01006268,Wigan 032E,24/7 Access,Public,53.49681854,-2.64193606,Greater Manchester
C7B51C54-7B93-4A9B-8DDC-AE2400D46155,Tesco,Tesco Express,Bolton Road,,Ashton-In-Makerfield,Wigan,WN4 8PF,England,Wigan,E01006221,Wigan 035B,Varied Access,Public,53.4910305,-2.6310961,Greater Manchester
F6DA55BD-7D1E-4956-9FE8-B3DE00F04745,St Thomas's C Of E Primary School,Saint Thomas's Primary School Hodnet Drive,Ashton In Makerfield,,Wigan,Wigan,WN4 8PQ,England,Wigan,E01006221,Wigan 035B,Varied Access,Restricted,53.4894,-2.63126,Greater Manchester
67576BF4-0B6F-42B4-B7C4-B0D300BDE5CA,External Garage Wall,5 Sawyer Drive,,,Ashton-In-Makerfield,Wigan,WN4 8SN,England,Wigan,E01006222,Wigan 035C,24/7 Access,Public,53.4903,-2.62634,Greater Manchester
86DCEED0-13BC-49EB-A62E-B15400F01DC4,Brian Boru Irish Club,Brian Boru Irish Club,55-57 Bryn Street,,Ashton-In-Makerfield,Wigan,WN4 9AX,England,Wigan,E01006265,Wigan 036E,24/7 Access,Public,53.4884,-2.63884,Greater Manchester
78CFB05F-B463-4824-A0A9-B0C70115B199,Staci Uk - Epic,Epic 110,"Three Sisters Road, South Lancs Industrial Estate","Ashton In Makerfield, Wigan",Ashton-In-Makerfield,Wigan,WN4 9GD,England,Wigan,E01006262,Wigan 032A,Varied Access,Restricted,53.5049,-2.63562,Greater Manchester
0572AAFB-2813-41FF-8349-B09000A9473C,St Edmund Arrowsmith Catholic High School,St Edmund Arrowsmith Catholic High School,Rookery Avenue,,Ashton-In-Makerfield,Wigan,WN4 9PF,England,Wigan,E01006225,Wigan 036B,Varied Access,Restricted,53.4823023,-2.6399082,Greater Manchester
5D247795-2483-4772-BABB-B090009474DD,St Edmund Arrowsmith Catholic High School,St Edmund Arrowsmith Catholic High School,Rookery Avenue,,Ashton-In-Makerfield,Wigan,WN4 9PF,England,Wigan,E01006225,Wigan 036B,Varied Access,Restricted,53.4823023,-2.6399082,Greater Manchester
8F4EE155-1464-4276-8B82-B41900DDEA6F,Rl Hughes Primary School ,R L Hughes Primary School,Mayfield Street,,Ashton-In-Makerfield,Wigan,WN4 9QL,England,Wigan,E01006265,Wigan 036E,Varied Access,Restricted,53.4898,-2.64525,Greater Manchester
CC8E4893-C711-4F89-9B57-B11700F2B65F,Ashton Bears Arlfc,Ashton Bears Arlfc,Low Bank Road,,Ashton-In-Makerfield,Wigan,WN4 9RP,England,Wigan,E01006264,Wigan 036D,24/7 Access,Public,53.493,-2.65441,Greater Manchester
24D73F70-6029-4ED6-BDF3-AF3000C3ABD4,Bryn Labour Club,311 Wigan Road,,,Ashton-In-Makerfield,Wigan,WN4 9SX,England,Wigan,E01006268,Wigan 032E,Varied Access,Restricted,53.49836,-2.64612,Greater Manchester
54D3B385-A56E-4353-9307-B2EA0068C453,Ashton Leisure,Old Road,Ashton In Makerfield,Wigan,Ashton-In-Makerfield,Wigan,WN4 9TR,England,Wigan,E01006261,Wigan 036C,Varied Access,Restricted,53.4938,-2.64561,Greater Manchester
EC5E95E3-F73C-49C4-8754-B02800A396E2,Orrell Lamberhead Green Primary School,Orrell Lamberhead Green Academy,Kershaw Street,Wn50aw,Orrell,Wigan,WN5 0AW,England,Wigan,E01006399,Wigan 011E,Varied Access,Public,53.5395791,-2.6865387,Greater Manchester
30584643-7B6E-4227-BD19-AF42013F1F67,,Norley Hall Cricket Club,City Road,,Wigan,Wigan,WN5 0BA,England,Wigan,E01006356,Wigan 011A,24/7 Access,Public,53.5440289,-2.6817211,Greater Manchester
C1F05F2A-017E-42B2-8892-B05100B4861A,Kitt Green Tavern,230 City Road,,,Wigan,Wigan,WN5 0BG,England,Wigan,E01006398,Wigan 011D,24/7 Access,Public,53.5453326,-2.6825535,Greater Manchester
8B4F852E-25F2-4BE1-B0CB-B02E00DAB2A2,,The Old Springs,Spring Road,,Orrell,Wigan,WN5 0JJ,England,Wigan,E01006396,Wigan 011B,24/7 Access,Public,53.5507774,-2.6867801,Greater Manchester
A8645721-311F-4327-AB28-B33700ADE0E5,H J Heinz Co Ltd,H J Heinz Co Ltd,Walthew House Lane,Kitt Green,Wigan,Wigan,WN5 0JL,England,Wigan,E01006396,Wigan 011B,24/7 Access,Public,53.5526,-2.68571,Greater Manchester
8E401ADA-2335-4A77-B2A7-B33700AE5AF5,H J Heinz Co Ltd,H J Heinz Co Ltd,Walthew House Lane,Kitt Green,Wigan,Wigan,WN5 0JL,England,Wigan,E01006396,Wigan 011B,24/7 Access,Public,53.5526,-2.68571,Greater Manchester
CDC99520-AE1A-45E3-BBE0-ADCE00E21D1C,H W Moon Toyota Ltd,3 Challenge Way,,Martland Park,Wigan,Wigan,WN5 0LD,England,Wigan,E01006361,Wigan 010E,Varied Access,Restricted,53.55224737,-2.667971849,Greater Manchester
05D07BDC-39D3-45C3-AC94-B32B0073A50A,Wincanton,Wincanton,Fourmarts Road,Martland Park,Wigan,Wigan,WN5 0LR,England,Wigan,E01006361,Wigan 010E,24/7 Access,Public,53.55555806,-2.678919371,Greater Manchester
21E53FE8-F0C9-474D-93F6-B32B00746320,Wincanton,Wincanton,Fourmarts Road,Martland Park,Wigan,Wigan,WN5 0LR,England,Wigan,E01006361,Wigan 010E,24/7 Access,Public,53.5563,-2.67878,Greater Manchester
6EEAA1B2-5D17-4538-BE51-B32B00786F14,Wincanton Heinz,Wincanton,Fourmarts Road,Martland Park,Wigan,Wigan,WN5 0LR,England,Wigan,E01006361,Wigan 010E,24/7 Access,Public,53.5563,-2.67878,Greater Manchester
721EA19A-51D7-45B0-8F2E-B32B0079DEE6,Wincanton,Wincanton,Fourmarts Road,Martland Park,Wigan,Wigan,WN5 0LR,England,Wigan,E01006361,Wigan 010E,24/7 Access,Public,53.5563,-2.67878,Greater Manchester
